Sno,AOriginalL,BPridictedL,CommonAB,WordsV,A,B,C,CSverseA,CSAB,CSAC,Hamming,Recall,Precision,F1
217,sacred mosque operession fruit prohibited months  hereafter companion of fire     ,fighting prohibited months  hereafter companion of fire,prohibited of companion fire hereafter months,110,10,7,6,0.242535625,0.680413817,0.745355992,0.1243,0.6,0.857142857,0.705882353
218,believer path of Allah successful         ,believer path of Allah fought,believer Allah path of,35,5,5,4,0.43643578,0.75,0.866025404,0.1721,0.8,0.8,0.8
219,gambling wine loss spend more than need       ,gambling wine loss spend more than need,loss wine gambling need spend than more,56,7,7,7,0.212132034,1,1,0,1,1,1
220,orphans do good exalted power         ,orphans do good exalted power,exalted good orphans do power,69,5,5,5,0.395284708,1,1,0,1,1,1
221,marry idolaters slave         ,marry idolaters slave,idolaters slave marry,83,3,3,3,0.360843918,1,1,0,1,1,1
222,women courses           ,women courses,women courses,71,2,2,2,0.32349832,1,1,0,1,1,1
223,tilth onto you fear Allah good news for believers         ,tilth oness fear Allah good news for believers,fear for believers good tilth Allah news,49,9,8,7,0.44474959,0.857142857,0.9258201,0,0.777777778,0.875,0.823529412
224, excuse oaths          ,excuse oaths,oaths excuse,31,2,2,2,0.353553391,1,1,0,1,1,1
225,oath forbearing          ,oath forbearing,oath forbearing,25,2,2,2,0.23570226,1,1,0,1,1,1
226,oath waiting return         ,oath waiting return,oath return waiting,27,3,3,3,0.5,1,1,0,1,1,1
227,divorce Allah knoweth          ,divorce Allah knoweth,knoweth divorce Allah,14,3,3,3,0.654653671,1,1,0,1,1,1
228,three periods husband degree divorce        ,three periods degree,periods three degree,86,5,3,3,0.186052102,0.774596669,0.774596669,0.2314,0.6,1,0.75
229,divorce twice hold together separate limits of God        ,divorce twice hold together separate limits of God,twice of God hold together divorce separate limits,117,8,8,8,0.335177515,1,1,0,1,1,1
230,divorce reunite re-marry halala        ,divorce re-marry reunite halala,divorce re-marry reunite halala,67,4,4,4,0.171498585,1,1,0,1,1,1
231,iddat jest injure behave well Allah knoweth       ,divorce women iddat take back  injure jest rehearse Allah favour well acquainted,jest well injure Allah iddat,94,7,12,5,0.292770022,0.545544726,0.845154255,0.1324,0.714285714,0.416666667,0.526315789
232,divorce woman iddat marry again Allah knoweth        ,divorce marry again Allah knoweth,again Allah divorce knoweth marry,62,7,5,5,0.276026224,0.816496581,0.816496581,0.1252,0.714285714,1,0.833333333
233,mother feed two year bear cost         ,mother feed two year bear cost,mother two bear feed cost year,132,6,6,6,0.225493808,1,1,0,1,1,1
234,widow iddat Allah knows         ,widow iddat Allah knows,widow Allah iddat knows,51,4,4,4,0.109108945,1,1,0,1,1,1
235,betrothal Allah knoweth forgiving         ,betrothal Allah knoweth forgiving,betrothal knoweth Allah forgiving,77,4,4,4,0.34340141,1,1,0,1,1,1
236,dower pay wealthy  poor        ,dower pay wealthy  poor,poor wealthy pay dower,55,4,4,4,0.278543007,1,1,0,1,1,1
237,divorce dower Allah knows         ,divorce dower Allah knows,divorce Allah dower knows,72,4,4,4,0.316227766,1,1,0,1,1,1
238,middle prayer devout          ,middle prayer devout,middle devout prayer,20,3,3,3,0.5,1,1,0,1,1,1
239,prayer praise Allah          ,prayer praise Allah,praise Allah prayer,36,3,3,3,0,1,1,0,1,1,1
240,bequeth widow provision exalted power        ,bequeath leave widow Allah is exalted  powerful  wise,exalted widow,47,5,8,2,0.186500962,0.338061702,0.632455532,0.2435,0.4,0.25,0.307692308
241,divorce maintece duty         ,divorce maintenance duty,divorce duty,18,3,3,2,0.204124145,0.666666667,0.816496581,0,0.666666667,0.666666667,0.666666667
242,Allah order understand          ,Allah order understand,order Allah understand,15,3,3,3,0.547722558,1,1,0,1,1,1
243,fear of death ungreatful          ,fear of death ungreatful,fear ungreatful of death,47,4,4,4,0.240771706,1,1,0,1,1,1
244,fight for Allah Allah knoweth heareth         ,fight for Allah Allah knoweth heareth,for heareth fight Allah knoweth,16,6,6,5,0.836660027,1,0.944911183,0,0.833333333,0.833333333,0.833333333
245,loan to Allah multiple return          ,loan to Allah multiple return,loan to Allah return multiple,38,5,5,5,0.6,1,1,0,1,1,1
246,fight for Allah king turned back Allah knoweth        ,fight for Allah king turned back Allah knoweth,turned for back king fight Allah knoweth,111,8,8,7,0.547188454,1,0.952579344,0,0.875,0.875,0.875
247,Talut King Allah knoweth         ,Talut King Allah knoweth,knoweth King Allah Talut,77,4,4,4,0.41537358,1,1,0,1,1,1
248,ark transquality Moses Aaron        ,ark Moses Aaron security,Moses ark Aaron,62,4,4,3,0.294174203,0.75,0.866025404,0,0.75,0.75,0.75
249,test  stream steadfastly         ,test  stream steadfast,stream test,111,3,3,2,0.227429413,0.666666667,0.816496581,0,0.666666667,0.666666667,0.666666667
250,pray help faith         ,pray help faith,pray faith help,30,3,3,3,0.272165527,1,1,0,1,1,1
251,David slew Goliath         ,David slew Goliath,Goliath slew David,55,3,3,3,0.284747399,1,1,0,1,1,1
252,signs of Allah Muhammad  messenger         ,signs of Allah Muhammad  messenger,messenger signs Muhammad Allah of,20,5,5,5,0.316227766,1,1,0,1,1,1
253,Messenger holy spirit Jesus 'honour        ,Messenger holy spirit Jesus,Jesus holy spirit Messenger,87,5,4,4,0.213808994,0.894427191,0.894427191,0.01254,0.8,1,0.888888889
254,spend out friendship          ,spend out friendship,spend friendship out,35,3,3,3,0.377964473,1,1,0,1,1,1
255,Allah is one  ever living self subsisting slumber not tries       ,Allah is one  ever living self subsisting slumber not tried,one not Allah is slumber self subsisting living ever,96,10,10,9,0.159900537,0.875,0.935414347,0,0.9,0.9,0.9
256,right wrong false deities firm handhold break       ,no compulsion religion,,36,7,3,1,0.077151675,0,1,1,0.142857143,0.333333333,0.2
257,faith           ,faith,faith,56,1,1,1,0.338061702,1,0.707106781,0,1,1,1
258,dumbfound Abraham dispute rise  west reject faith      ,dumbfound Abraham dispute rise  west,dispute west rise Abraham dumbfound,83,7,5,5,0.307562343,0.845154255,1,0,0.714285714,1,0.833333333
259,over turned bring to life change with time raise         ,ruins bring to life change with time raise,bring to time change life raise with,139,9,8,7,0.111340443,0.833333333,1,0.1252,0.777777778,0.875,0.823529412
260,raise up death  reassure four birds pieces call them will be back     ,raise the dead  reassure heart four bird,four raise reassure,63,12,7,3,0.396296962,0.433012702,1,0,0.25,0.428571429,0.315789474
261,grain corn spent gain more Allah knoweth       ,spend substance corn,corn,49,7,3,1,0.454858826,0.23570226,1,0.7214,0.142857143,0.333333333,0.2
262,spend substance reward fear grieve        ,spend substance reward fear grieve,fear grieve substance spend reward,41,5,5,5,0.542326145,1,0.577350269,0,1,1,1
263,kind words covering faults  charity         ,kind words covering faults  charity,words kind faults charity covering,24,5,5,5,0.645497224,1,1,0,1,1,1
264,charity generosity un believer last day no guidance reject faith      ,charity un Believe no Allah last day un charitable,last no day charity un,84,10,9,5,0.301511345,0.527046277,1,0,0.5,0.555555556,0.526315789
265,spend substance please Allah like garden         ,spend substance please Allah like garden,substance like spend Allah please garden,56,6,6,6,0.40824829,1,1,0,1,1,1
266,garden date  palm vines old age wind  fire     ,garden date-palm vines old age wind  fire,old wind vines fire age garden,70,8,7,6,0.322748612,0.801783726,0.755928946,0,0.75,0.857142857,0.8
267,spend things given by Allah          ,spend things given by Allah,by spend Allah given things,74,5,5,5,0.144337567,1,0.774596669,0,1,1,1
268,poverty evil threaten Allah forgive bounty      ,poverty evil treath forgiveness bounty,poverty evil bounty,30,6,5,3,0.396059017,0.547722558,0.755928946,0,0.5,0.6,0.545454545
269,wisdom please Allah          ,wisdom please Allah,wisdom please Allah,29,3,3,3,0.288675135,1,0.912870929,0,1,1,1
270,charity Allah knoweth          ,charity Allah knoweth,knoweth Allah charity,20,3,3,3,0.365148372,1,0.774596669,0,1,1,1
271,disclose charity conceal remove sin        ,disclose charity conceal remove sin,remove sin disclose conceal charity,49,5,5,5,0.338061702,1,0.832050294,0,1,1,1
272,o messenger responsible right path         ,o messenger responsible right path,o messenger responsible right path,63,5,5,5,0.314970394,1,1,0,1,1,1
273,wrapped up move about restraint mark importunity charity      ,charity restricted move about modesty,about move charity,68,8,5,3,0.210042013,0.40824829,1,0.2534,0.375,0.6,0.461538462
274,reward charity Lord no fear        ,reward charity Lord no fear no grieve,fear Lord no charity reward,34,5,7,5,0.516397779,0.894427191,1,0,1,0.714285714,0.833333333
275,usury evil fire live forever        ,usury evil fire live forever,evil usury live forever fire,78,5,5,5,0.301511345,1,1,0,1,1,1
276,deprive usury blessing charity        ,deprive usury blessing charity,usury deprive blessing charity,23,4,4,4,0.577350269,1,1,0,1,1,1
277,reward of believer believe righteousness prayer charity fear      ,reward of believer charity fear,fear of believer charity reward,32,8,5,5,0.445435403,0.755928946,0.755928946,0,0.625,1,0.769230769
278,fear Allah believe give up usur         ,fear Allah give up usury believer,fear Allah give up,21,6,6,4,0.496138938,0.6,0.774596669,0,0.666666667,0.666666667,0.666666667
279,take notice giveup usuar war with Allah Messenger        ,take notice war Allah messenger,take war Allah notice,36,8,5,4,0.319438282,0.845154255,0.755928946,0,0.5,0.8,0.615384615
280,borrower difficulty grant time charity borrow        ,borrower difficulty grant time charity,time charity grant borrower difficulty,36,6,5,5,0.40824829,0.912870929,0.912870929,0,0.833333333,1,0.909090909
281,fear Day of Judgment decision unjustify        ,fear Day of Judgment,fear Day Judgment of,28,6,4,4,0.190692518,0.774596669,0.774596669,0,0.666666667,1,0.8
282,document agrements carefully document  witness fear Allah Allah knoweth      ,document liability witness fear Allah trust,fear document Allah witness,321,9,6,4,0.245358246,0.67936622,0.832050294,0,0.444444444,0.666666667,0.533333333
283,pledge trust          ,pledge trust,trust pledge,64,2,2,2,0.33968311,1,1,0,1,1,1
284,Allah belongeth all' heaven earth forgive        ,Allah belongeth all heaven earth forgive Allah hath power,belongeth Allah forgive heaven earth,47,6,9,5,0.422577127,0.848528137,1,0,0.833333333,0.555555556,0.666666667
285,Messenger believe faith angels books forgiveness      ,Messenger believe faith angels books forgiveness,books forgiveness angels believe Messenger faith,69,6,6,6,0.326860225,1,1,0,1,1,1
286,capacity burden strength earn sin forgiveness mercy help    ,strength bear,strength,99,8,2,1,0.22406454,0.25,0.353553391,0.5142,0.125,0.5,0.2
,,,TOTAL,12379,1205,1146,985,108.3479508,251.4655582,259.2877882,19.02306274,243.9416667,251.1146825,245.622858
,,Mean,Avg,43.44,4.23,4.02,3.46,0.38,0.88,0.91,0.066514205,0.855935673,0.881104149,0.861834589
,,,%age,,,,,,,,6.65,86,88,86
,,,Median,35,4,4,3,0.379049022,1,1,0,1,1,1
,,,mode ,25,3,3,3,0.577350269,1,1,0,1,1,1
