Sno,Juz,SurahNo,SurahName,Classification,AyahNo,verse,lb1,lb2,lb3,lb4,lb5,lb6,lb7,lb8,lb9,lb10,lb11,lb12
178,2,2,Al-Baqara,Medani,178,"O ye who believe  the law of equality is prescribed to you in cases of murder  the free for the free, the slave for the slave, the woman for the woman. But if any remission is made by the brother of the slain, then grant any reasonable demand, and compensate him with handsome gratitude, this is a concession and a Mercy from your Lord. After this whoever exceeds the limits shall be in grave penalty.",law of equality,retribution,murder,slave,woman,,,,,,,
179,2,2,Al-Baqara,Medani,179,"In the Law of Equality there is (saving of) Life to you, o ye men of understanding; that ye may restrain yourselves.",law of equality,save yourself,,,,,,,,,,
180,2,2,Al-Baqara,Medani,180,"It is prescribed, when death approaches any of you, if he leave any goods that he make a bequest to parents and next of kin, according to reasonable usage; this is due from the Allah-fearing.",death,bequest,goods distribution,,,,,,,,,
181,2,2,Al-Baqara,Medani,181,"If anyone changes the bequest after hearing it, the guilt shall be on those who make the change. For Allah hears and knows (All things).",changes bequest,guilty,Allah knows,,,,,,,,,
182,2,2,Al-Baqara,Medani,182,"But if anyone fears partiality or wrong doing on the part of the testator, and makes peace between (The parties concerned), there is no wrong in him  For Allah is Oft forgiving, Most Merciful.",partiality,wrong doing,merciful,,,,,,,,,
183,2,2,Al-Baqara,Medani,183,"O ye who believe  Fasting is prescribed to you as it was prescribed to those before you, that ye may (learn) self restraint",fast,compulsory,self restraint,,,,,,,,,
184,2,2,Al-Baqara,Medani,184,"(Fasting) for a fixed number of days; but if any of you is ill, or on a journey, the prescribed number (Should be made up) from days later. For those who can do it (With hardship), is a ransom, the feeding of one that is indigent. But he that will give more, of his own free will,- it is better for him. And it is better for you that ye fast, if ye only knew.",fast,ill,journey,,,,,,,,,
185,2,2,Al-Baqara,Medani,185,"Ramadhan is the (month) in which was sent down the Qur'an, as a guide to mankind, also clear (Signs) for guidance and judgment (Between right and wrong). So every one of you who is present (at his home) during that month should spend it in fasting, but if any one is ill, or on a journey, the prescribed period (Should be made up) by days later. Allah intends every facility for you; He does not want to put to difficulties. (He wants you) to complete the prescribed period, and to glorify Him in that He has guided you; and perchance ye shall be grateful.",ramadhan,Quran,guidance,judgment,glorify,,,,,,,
186,2,2,Al-Baqara,Medani,186,"When My servants ask thee concerning Me, I am indeed close (to them)  I listen to the prayer of every suppliant when he calleth on Me  Let them also, with a will, Listen to My call, and believe in Me  That they may walk in the right way.",I am close,prayer,believe,right way,,,,,,,,
187,2,2,Al-Baqara,Medani,187,"Permitted to you, on the night of the fasts, is the approach to your wives. They are your garments and ye are their garments. Allah knoweth what ye used to do secretly among yourselves; but He turned to you and forgave you; so now associate with them, and seek what Allah Hath ordained for you, and eat and drink, until the white thread of dawn appear to you distinct from its black thread; then complete your fast Till the night appears; but do not associate with your wives while ye are in retreat in the mosques. Those are Limits (set by) Allah  Approach not nigh thereto. Thus doth Allah make clear His Signs to men  that they may learn self-restraint.",fast,approatch wife,garments,limits,Allah,,,,,,,
188,2,2,Al-Baqara,Medani,188,"And do not eat up your property among yourselves for vanities, nor use it as bait for the judges, with intent that ye may eat up wrongfully and knowingly a little of (other) people's property.",property,vanities,,,,,,,,,,
189,2,2,Al-Baqara,Medani,189,"They ask thee concerning the New Moons. Say  They are but signs to mark fixed periods of time in (the affairs of) men, and for Pilgrimage. It is no virtue if ye enter your houses from the back  It is virtue if ye fear Allah. Enter houses through the proper doors  And fear Allah  That ye may prosper.", moon,time,pilgrimage,,,,,,,,,
190,2,2,Al-Baqara,Medani,190,"Fight in the cause of Allah those who fight you, but do not transgress limits for Allah loveth not transgressors.",fight,Allah,transgress,,,,,,,,,
191,2,2,Al-Baqara,Medani,191,"And slay them wherever ye catch them, and turn them out from where they have Turned you out  for tumult and oppression are worse than slaughter; but fight them not at the Sacred Mosque, unless they (first) fight you there; but if they fight you, slay them. Such is the reward of those who suppress faith.",slay,sacred mosque,faith,fight,,,,,,,,
192,2,2,Al-Baqara,Medani,192,"But if they cease, Allah is Oft-forgiving, Most Merciful.",Allah,merciful,forgiving,cease,,,,,,,,
193,2,2,Al-Baqara,Medani,193,"And fight them on until there is no more Tumult or oppression, and there prevail justice and faith in Allah but if they cease, Let there be no hostility except to those who practise oppression.",fight,tumult,oppression,justice,,,,,,,,
194,2,2,Al-Baqara,Medani,194,"The prohibited month for the prohibited month, and so for all things prohibited, there is the law of equality. If then any one transgresses the prohibition against you, Transgress ye likewise against him. But fear Allah, and know that Allah is with those who restrain themselves.",prohibited months,law of equality,,,,,,,,,,
195,2,2,Al-Baqara,Medani,195,"And spend of your substance in the cause of Allah, and make not your own hands contribute to (your) destruction but do good for Allah loveth those who do good.",cause of Allah,spend,substance,do good,,,,,,,,
196,2,2,Al-Baqara,Medani,196,"And complete the Hajj or umra in the service of Allah. But if ye are prevented (From completing it), send an offering for sacrifice, such as ye may find, and do not shave your heads until the offering reaches the place of sacrifice. And if any of you is ill, or has an ailment in his scalp, (Necessitating shaving), (He should) in compensation either fast, or feed the poor, or offer sacrifice; and when ye are in peaceful conditions (again), if any one wishes to continue the 'umra on to the hajj, He must make an offering, such as he can afford, but if he cannot afford it, He should fast three days during the hajj and seven days on his return, Making ten days in all. This is for those whose household is not in (the precincts of) the Sacred Mosque. And fear Allah, and know that Allah Is strict in punishment.",hajj,umra,animal,destination,sacrifies,,,,,,,
197,2,2,Al-Baqara,Medani,197,"For Hajj are the months well known. If any one undertakes that duty therein, Let there be no obscenity, nor wickedness, nor wrangling in the Hajj. And whatever good ye do, (be sure) Allah knoweth it. And take a provision (With you) for the journey, but the best of provisions is right conduct. So fear Me, o ye that are wise.",perform hajj,obscenity,wickedne,,,,,,,,,
198,2,2,Al-Baqara,Medani,198,"It is no crime in you if ye seek of the bounty of your Lord (during pilgrimage). Then when ye pour down from (Mount) Arafat, celebrate the praises of Allah at the Sacred Monument, and celebrate His praises as He has directed you, even though, before this, ye went astray.",Arafat,celebrate,praise,Muzdalfa,,,,,,,,
199,2,2,Al-Baqara,Medani,199,"Then pass on at a quick pace from the place whence it is usual for the multitude so to do, and ask for Allah's forgiveness. For Allah is Oft-forgiving, Most Merciful.",forgiveness,merciful,,,,,,,,,,
200,2,2,Al-Baqara,Medani,200,"So when ye have accomplished your holy rites, celebrate the praises of Allah, as ye used to celebrate the praises of your fathers, yea, with far more Heart and soul. There are men who say    Our Lord  Give us (Thy bounties) in this world    but they will have no portion in the Hereafter.",holy rites,Hajj,praises of Allah,,,,,,,,,
201,2,2,Al-Baqara,Medani,201,"And there are men who say    Our Lord  Give us good in this world and good in the Hereafter, and defend us from the torment of the Fire   ",good  world,fire,torment,hereafter,,,,,,,,
202,2,2,Al-Baqara,Medani,202,To these will be allotted what they have earned; and Allah is quick in account.,alloted ,earned,quick,account,,,,,,,,
203,2,2,Al-Baqara,Medani,203,"Celebrate the praises of Allah during the Appointed Days. But if any one hastens to leave in two days, there is no blame on him, and if any one stays on, there is no blame on him, if his aim is to do right. Then fear Allah, and know that ye will surely be gathered unto Him.",Allah,praises,appointed day,,,,,,,,,
204,2,2,Al-Baqara,Medani,204,"There is the type of man whose speech about this world's life May dazzle thee, and he calls Allah to witness about what is in his heart; yet is he the most contentious of enemies.", contentious,,,,,,,,,,,
205,2,2,Al-Baqara,Medani,205,"When he turns his back, His aim everywhere is to spread mischief through the earth and destroy crops and cattle. But Allah loveth not mischief.",mischief,crops,cattle,,,,,,,,,
206,2,2,Al-Baqara,Medani,206,"When it is said to him,   Fear Allah  ,his (false) pride drives him to sins. Enough for him is Hell An evil bed indeed (To lie on) ",pride,hell,fear,sin,,,,,,,,
207,2,2,Al-Baqara,Medani,207,And there is the type of man who gives his life to earn the pleasure of Allah  And Allah is full of kindness to (His) devotees.,pleasure of Allah,,,,,,,,,,,
208,2,2,Al-Baqara,Medani,208,O ye who believe  Enter into Islam whole-heartedly and follow not the footsteps of the evil one for he is to you an avowed enemy.,adopt islam,foot steps of  evil,,,,,,,,,,
209,2,2,Al-Baqara,Medani,209,"If ye backslide after the clear (Signs) have come to you, then know that Allah is Exalted in Power, Wise.",backslide,clear signs,Allah powerful,wise,,,,,,,,
210,2,2,Al-Baqara,Medani,210,"Will they wait until Allah comes to them in canopies of clouds, with angels (in His train) and the question is (thus) settled? but to Allah do all questions go back (for decision).",wait for torment,,,,,,,,,,,
211,2,2,Al-Baqara,Medani,211,"Ask the Children of Israel how many clear (Signs) We have sent them. But if any one, after Allah's favour has come to him, substitutes (something else), Allah is strict in punishment.",punishhment,children of Israel,clear sign,strict,,,,,,,,
212,2,2,Al-Baqara,Medani,212,"The life of this world is alluring to those who reject faith, and they scoff at those who believe. But the righteous will be above them on the Day of Resurrection for Allah bestows His abundance without measure on whom He will.",alluring,faith,righteous,day of judgement,,,,,,,,
213,2,2,Al-Baqara,Medani,213,"Mankind was one single nation, and Allah sent Messengers with glad tidings and warnings and with them He sent the Book in truth, to judge between people in matters wherein they differed; but the People of the Book, after the clear Signs came to them, did not differ among themselves, except through selfish contumacy. Allah by His Grace Guided the believers to the Truth, concerning that wherein they differed. For Allah guided whom He will to a path that is straight.",one religion,Messenger,book,judge,Allah guide,,,,,,,
214,2,2,Al-Baqara,Medani,214,"Or do ye think that ye shall enter the Garden (of bliss) without such (trials) as came to those who passed away before you? they encountered suffering and adversity, and were so shaken in spirit that even the Messenger and those of faith who were with him cried    When (will come) the help of Allah?   Ah  Verily, the help of Allah is (always) near ",heaven,trials,God's help,,,,,,,,,
215,2,2,Al-Baqara,Medani,215,"They ask thee what they should spend (In charity). Say  Whatever ye spend that is good, is for parents and kindred and orphans and those in want and for wayfarers. And whatever ye do that is good, -Allah knoweth it well.",charity,parents,kindres,orphans,Allah knoweth,,,,,,,
216,2,2,Al-Baqara,Medani,216,"Fighting is prescribed for you, and ye dislike it. But it is possible that ye dislike a thing which is good for you, and that ye love a thing which is bad for you. But Allah knoweth, and ye know not.",fight,like,dislike,Allah knoweth,,,,,,,,
217,2,2,Al-Baqara,Medani,217,"They ask thee concerning fighting in the Prohibited Month. Say    Fighting therein is a grave (offence) but graver is it in the sight of Allah to prevent access to the path of Allah, to deny Him, to prevent access to the Sacred Mosque, and drive out its members.   Tumult and oppression are worse than slaughter. Nor will they cease fighting you until they turn you back from your faith if they can. And if any of you Turn back from their faith and die in unbelief, their works will bear no fruit in this life and in the Hereafter; they will be companions of the Fire and will abide therein.",sacred mosque,operession,fruit,prohibited months,,hereafter,companion of fire,,,,,
218,2,2,Al-Baqara,Medani,218,"Those who believed and those who suffered exile and fought (and strove and struggled) in the path of Allah, they have the hope of the Mercy of Allah  And Allah is Oft forgiving, Most Merciful.",believer,path of Allah,successful,,,,,,,,,
219,2,2,Al-Baqara,Medani,219,"They ask thee concerning wine and gambling. Say    In them is great sin, and some profit, for men; but the sin is greater than the profit.   They ask thee how much they are to spend; Say    What is beyond your needs.   Thus doth Allah Make clear to you His Signs  In order that ye may consider-",gambling,wine,loss,spend,more than need,,,,,,,
220,2,2,Al-Baqara,Medani,220,"(Their bearings) on this life and the Hereafter. They ask thee concerning orphans. Say    The best thing to do is what is for their good; if ye mix their affairs with yours, they are your brethren; but Allah knows the man who means mischief from the man who means good. And if Allah had wished, He could have put you into difficulties  He is indeed Exalted in Power, Wise.  ",orphans,do good,exalted power,,,,,,,,,
221,2,2,Al-Baqara,Medani,221,"Do not marry unbelieving women (idolaters), until they believe  A slave woman who believes is better than an unbelieving woman, even though she allures you. Nor marry (your girls) to unbelievers until they believe  A man slave who believes is better than an unbeliever, even though he allures you. Unbelievers do (but) beckon you to the Fire. But Allah beckons by His Grace to the Garden (of bliss) and forgiveness, and makes His Signs clear to mankind  That they may celebrate His praise.",marry,idolaters,slave,,,,,,,,,
222,2,2,Al-Baqara,Medani,222,"They ask thee concerning women's courses. Say  They are a hurt and a pollution  So keep away from women in their courses, and do not approach them until they are clean. But when they have purified themselves, ye may approach them in any manner, time, or place ordained for you by Allah. For Allah loves those who turn to Him constantly and He loves those who keep themselves pure and clean.",women courses,,,,,,,,,,,
223,2,2,Al-Baqara,Medani,223,"Your wives are as a tilth unto you; so approach your tilth when or how ye will but do some good act for your souls beforehand and fear Allah. And know that ye are to meet Him (in the Hereafter), and give (these) good tidings to those who believe.",tilth onto you,fear Allah,good news for believers,,,,,,,,,
224,2,2,Al-Baqara,Medani,224,"And make not Allah's (name) an excuse in your oaths against doing good, or acting rightly, or making peace between persons for Allah is One Who heareth and knoweth all things.", excuse,oaths,,,,,,,,,,
225,2,2,Al-Baqara,Medani,225,"Allah will not call you to account for thoughtlessness in your oaths, but for the intention in your hearts; and He is Oft-forgiving, Most Forbearing.",oath,forbearing,,,,,,,,,,
226,2,2,Al-Baqara,Medani,226,"For those who take an oath for abstention from their wives, a waiting for four months is ordained if then they return, Allah is Oft-forgiving, Most Merciful.",oath,waiting,return,,,,,,,,,
227,2,2,Al-Baqara,Medani,227,"But if their intention is firm for divorce, Allah heareth and knoweth all things.",divorce,Allah knoweth,,,,,,,,,,
228,2,2,Al-Baqara,Medani,228,"Divorced women shall wait concerning themselves for three monthly periods. Nor is it lawful for them to hide what Allah Hath created in their wombs, if they have faith in Allah and the Last Day. And their husbands have the better right to take them back in that period, if they wish for reconciliation. And women shall have rights similar to the rights against them, according to what is equitable; but men have a degree (of advantage) over them. And Allah is Exalted in Power, Wise.",three periods,husband,degree,divorce,,,,,,,,
229,2,2,Al-Baqara,Medani,229,"A divorce is only permissible twice  after that, the parties should either hold Together on equitable terms, or separate with kindness. It is not lawful for you, (Men), to take back any of your gifts (from your wives), except when both parties fear that they would be unable to keep the limits ordained by Allah. If ye (judges) do indeed fear that they would be unable to keep the limits ordained by Allah, there is no blame on either of them if she give something for her freedom. These are the limits ordained by Allah; so do not transgress them if any do transgress the limits ordained by Allah, such persons wrong (Themselves as well as others).",divorce twice,hold together,separate,limits of God,,,,,,,,
230,2,2,Al-Baqara,Medani,230,"So if a husband divorces his wife (irrevocably), He cannot, after that, re-marry her until after she has married another husband and He has divorced her. In that case there is no blame on either of them if they re-unite, provided they feel that they can keep the limits ordained by Allah. Such are the limits ordained by Allah, which He makes plain to those who understand.",divorce,reunite,re-marry,halala,,,,,,,,
231,2,2,Al-Baqara,Medani,231,"When ye divorce women, and they fulfil the term of their (Iddat), either take them back on equitable terms or set them free on equitable terms; but do not take them back to injure them, (or) to take undue advantage; if any one does that; He wrongs his own soul. Do not treat Allah's Signs as a jest, but solemnly rehearse Allah's favours on you, and the fact that He sent down to you the Book and Wisdom, for your instruction. And fear Allah, and know that Allah is well acquainted with all things.",iddat,jest,injure,behave well,Allah knoweth,,,,,,,
232,2,2,Al-Baqara,Medani,232,"When ye divorce women, and they fulfil the term of their (Iddat), do not prevent them from marrying their (former) husbands, if they mutually agree on equitable terms. This instruction is for all amongst you, who believe in Allah and the Last Day. That is (the course Making for) most virtue and purity amongst you and Allah knows, and ye know not.",divorce woman,iddat,marry again,Allah knoweth,,,,,,,,
233,2,2,Al-Baqara,Medani,233,"The mothers shall give such to their offspring for two whole years, if the father desires to complete the term. But he shall bear the cost of their food and clothing on equitable terms. No soul shall have a burden laid on it greater than it can bear. No mother shall be Treated unfairly on account of her child. Nor father on account of his child, an heir shall be chargeable in the same way. If they both decide on weaning, by mutual consent, and after due consultation, there is no blame on them. If ye decide on a foster-mother for your offspring, there is no blame on you, provided ye pay (the mother) what ye offered, on equitable terms. But fear Allah and know that Allah sees well what ye do.",mother feed,two year,bear cost,,,,,,,,,
234,2,2,Al-Baqara,Medani,234,"If any of you die and leave widows behind, they shall wait concerning themselves four months and ten days  When they have fulfilled their term, there is no blame on you if they dispose of themselves in a just and reasonable manner. And Allah is well acquainted with what ye do.",widow,iddat,Allah knows,,,,,,,,,
235,2,2,Al-Baqara,Medani,235,"There is no blame on you if ye make an offer of betrothal or hold it in your hearts. Allah knows that ye cherish them in your hearts  But do not make a secret contract with them except in terms Honourable, nor resolve on the tie of marriage till the term prescribed is fulfilled. And know that Allah Knoweth what is in your hearts, and take heed of Him; and know that Allah is Oft-forgiving, Most Forbearing.",betrothal,Allah knoweth,forgiving,,,,,,,,,
236,2,2,Al-Baqara,Medani,236,"There is no blame on you if ye divorce women before consummation or the fixation of their dower  but bestow on them (A suitable gift), the wealthy according to his means, and the poor according to his means;- A gift of a reasonable amount is due from those who wish to do the right thing.",dower,pay,wealthy ,poor,,,,,,,,
237,2,2,Al-Baqara,Medani,237,"And if ye divorce them before consummation, but after the fixation of a dower for them, then the half of the dower (Is due to them), unless they remit it or (the man's half) is remitted by him in whose hands is the marriage tie; and the remission (of the man's half) is the nearest to righteousness. And do not forget Liberality between yourselves. For Allah sees well all that ye do.",divorce,dower,Allah knows,,,,,,,,,
238,2,2,Al-Baqara,Medani,238,"Guard strictly your (habit of) prayers, especially the Middle Prayer; and stand before Allah in a devout (frame of mind).",middle prayer,devout,,,,,,,,,,
239,2,2,Al-Baqara,Medani,239,"If ye fear (an enemy), pray on foot, or riding, (as may be most convenient), but when ye are in security, celebrate Allah's praises in the manner He has taught you, which ye knew not (before).",prayer,praise Allah,,,,,,,,,,
240,2,2,Al-Baqara,Medani,240,"Those of you who die and leave widows should bequeath for their widows a year's maintenance and residence; but if they leave (The residence), there is no blame on you for what they do with themselves, provided it is reasonable. And Allah is Exalted in Power, Wise.",bequeth,widow,provision,exalted power,,,,,,,,
241,2,2,Al-Baqara,Medani,241,For divorced women Maintenance (should be provided) on a reasonable (scale). This is a duty on the righteous.,divorce,maintenance,duty,,,,,,,,,
242,2,2,Al-Baqara,Medani,242,Thus doth Allah Make clear His Signs to you  In order that ye may understand.,Allah order,understand,,,,,,,,,,
243,2,2,Al-Baqara,Medani,243,"Didst thou not Turn by vision to those who abandoned their homes, though they were thousands (In number), for fear of death? Allah said to them    Die    Then He restored them to life. For Allah is full of bounty to mankind, but Most of them are ungrateful.",fear of death,ungreatful,,,,,,,,,,
244,2,2,Al-Baqara,Medani,244,"Then fight in the cause of Allah, and know that Allah Heareth and knoweth all things.",fight for Allah,Allah knoweth,heareth,,,,,,,,,
245,2,2,Al-Baqara,Medani,245,"Who is he that will loan to Allah a beautiful loan, which Allah will double unto his credit and multiply many times? It is Allah that giveth (you) Want or plenty, and to Him shall be your return.",loan to Allah,multiple return,,,,,,,,,,
246,2,2,Al-Baqara,Medani,246,"Hast thou not Turned thy vision to the Chiefs of the Children of Israel after (the time of) Moses? they said to a prophet (That was) among them    Appoint for us a king, that we May fight in the cause of Allah.   He said    Is it not possible, if ye were commanded to fight, that that ye will not fight?   They said    How could we refuse to fight in the cause of Allah, seeing that we were turned out of our homes and our families?   but when they were commanded to fight, they turned back, except a small band among them. But Allah Has full knowledge of those who do wrong.",fight for Allah,king,turned back,Allah knoweth,,,,,,,,
247,2,2,Al-Baqara,Medani,247,"Their Prophet said to them    Allah hath appointed Talut as king over you.   They said    How can he exercise authority over us when we are better fitted than he to exercise authority, and he is not even gifted, with wealth in abundance?   He said    Allah hath Chosen him above you, and hath gifted him abundantly with knowledge and bodily prowess  Allah Granteth His authority to whom He pleaseth. Allah careth for all, and He knoweth all things.  ",Talut,King,Allah knoweth,,,,,,,,,
248,2,2,Al-Baqara,Medani,248,"And (further) their Prophet said to them    A Sign of his authority is that there shall come to you the Ark of the covenant, with (an assurance) therein of security from your Lord, and the relics left by the family of Moses and the family of Aaron, carried by angels. In this is a symbol for you if ye indeed have faith.  ",ark,transquality,Moses,Aaron,,,,,,,,
249,2,2,Al-Baqara,Medani,249,"When Talut set forth with the armies, he said    Allah will test you at the stream  if any drinks of its water, He goes not with my army  Only those who taste not of it go with me  A mere sip out of the hand is excused.   but they all drank of it, except a few. When they crossed the river,- He and the faithful ones with him,- they said    This day We cannot cope with Goliath and his forces.   but those who were convinced that they must meet Allah, said    How oft, by Allah's will, Hath a small force vanquished a big one? Allah is with those who steadfastly persevere.  ",test ,stream,steadfastly,,,,,,,,,
250,2,2,Al-Baqara,Medani,250,"When they advanced to meet Goliath and his forces, they prayed    Our Lord  Pour out constancy on us and make our steps firm  Help us against those that reject faith.  ",pray,help,faith,,,,,,,,,
251,2,2,Al-Baqara,Medani,251,"By Allah's will they routed them; and David slew Goliath; and Allah gave him power and wisdom and taught him whatever (else) He willed. And did not Allah Check one set of people by means of another, the earth would indeed be full of mischief  But Allah is full of bounty to all the worlds.",David,slew,Goliath,,,,,,,,,
252,2,2,Al-Baqara,Medani,252,These are the Signs of Allah  we rehearse them to thee in truth  verily Thou art one of the messengers.,signs of Allah,Muhammad ,messenger,,,,,,,,,
253,2,2,Al-Baqara,Medani,253,"Those messengers We endowed with gifts, some above others  To one of them Allah spoke; others He raised to degrees (of honour); to Jesus the son of Mary We gave clear (Signs), and strengthened him with the holy spirit. If Allah had so willed, succeeding generations would not have fought among each other, after clear (Signs) had come to them, but they (chose) to wrangle, some believing and others rejecting. If Allah had so willed, they would not have fought each other; but Allah Fulfilleth His plan.",Messenger,holy spirit,Jesus,'honour,,,,,,,,
254,2,2,Al-Baqara,Medani,254,"O ye who believe  Spend out of (the bounties) We have provided for you, before the Day comes when no bargaining (Will avail), nor friendship nor intercession. Those who reject Faith they are the wrong-doers.",spend out,friendship,,,,,,,,,,
255,2,2,Al-Baqara,Medani,255,"Allah  There is no god but He,-the Living, the Self-subsisting, Eternal. No slumber can seize Him nor sleep. His are all things in the heavens and on earth. Who is there can intercede in His presence except as He permitteth? He knoweth what (appeareth to His creatures as) before or after or behind them. Nor shall they compass aught of His knowledge except as He willeth. His Throne doth extend over the heavens and the earth, and He feeleth no fatigue in guarding and preserving them for He is the Most High, the Supreme (in glory).",Allah is one ,ever living,self subsisting,slumber,not tries,,,,,,,
256,2,2,Al-Baqara,Medani,256,"Let there be no compulsion in religion  Truth stands out clear from Error  whoever rejects evil and believes in Allah hath grasped the most trustworthy hand-hold, that never breaks. And Allah heareth and knoweth all things.",right,wrong,false deities,firm handhold,break,,,,,,,
257,2,2,Al-Baqara,Medani,257,"Allah is the Protector of those who have faith  from the depths of darkness He will lead them forth into light. Of those who reject faith the patrons are the evil ones  from light they will lead them forth into the depths of darkness. They will be companions of the fire, to dwell therein (For ever).",faith,,,,,,,,,,,
258,2,2,Al-Baqara,Medani,258,"Hast thou not Turned thy vision to one who disputed with Abraham About his Lord, because Allah had granted him power? Abraham said    My Lord is He Who Giveth life and death.   He said    I give life and death  . Said Abraham    But it is Allah that causeth the sun to rise from the east  Do thou then cause him to rise from the West.   Thus was he confounded who (in arrogance) rejected faith. Nor doth Allah Give guidance to a people unjust.",dumbfound,Abraham,dispute,rise ,west,reject faith,,,,,,
259,2,2,Al-Baqara,Medani,259,"Or (take) the similitude of one who passed by a hamlet, all in ruins to its roofs. He said    Oh  how shall Allah bring it (ever) to life, after (this) its death?   but Allah caused him to die for a hundred years, then raised him up (again). He said    How long didst thou tarry (thus)?   He said  (Perhaps) a day or part of a day.   He said    Nay, thou hast tarried thus a hundred years; but look at thy food and thy drink; they show no signs of age; and look at thy donkey  And that We may make of thee a sign unto the people, Look further at the bones, how We bring them together and clothe them with flesh.   When this was shown clearly to him, he said    I know that Allah hath power over all things.  ",over turned,bring to life,change with time,raise ,,,,,,,,
260,2,2,Al-Baqara,Medani,260,"When Abraham said    Show me, Lord, how You will raise the dead,    He replied    Have you no faith?   He said   Yes, but just to reassure my heart.   Allah said,   Take four birds, draw them to you, and cut their bodies to pieces. Scatter them over the mountain-tops, then call them back. They will come swiftly to you. Know that Allah is Mighty, Wise.  ",raise up,death ,reassure,four birds,pieces,call them,will be back,,,,,
261,2,2,Al-Baqara,Medani,261,"The parable of those who spend their substance in the way of Allah is that of a grain of corn  it groweth seven ears, and each ear Hath a hundred grains. Allah giveth manifold increase to whom He pleaseth  And Allah careth for all and He knoweth all things.",grain,corn,spent,gain more,Allah knoweth,,,,,,,
262,2,2,Al-Baqara,Medani,262,"Those who spend their substance in the cause of Allah, and follow not up their gifts with reminders of their generosity or with injury,-for them their reward is with their Lord  on them shall be no fear, nor shall they grieve.",spend substance,reward,fear,grieve,,,,,,,,
263,2,2,Al-Baqara,Medani,263,"Kind words and the covering of faults are better than charity followed by injury. Allah is free of all wants, and He is Most-Forbearing.",kind words,covering faults ,charity,,,,,,,,,
264,2,2,Al-Baqara,Medani,264,"O ye who believe  cancel not your charity by reminders of your generosity or by injury, like those who spend their substance to be seen of men, but believe neither in Allah nor in the Last Day. They are in parable like a hard, barren rock, on which is a little soil  on it falls heavy rain, which leaves it (Just) a bare stone. They will be able to do nothing with aught they have earned. And Allah guideth not those who reject faith.",charity,generosity,un believer,last day,no guidence,reject faith,,,,,,
265,2,2,Al-Baqara,Medani,265,"And the likeness of those who spend their substance, seeking to please Allah and to strengthen their souls, is as a garden, high and fertile  heavy rain falls on it but makes it yield a double increase of harvest, and if it receives not Heavy rain, light moisture sufficeth it. Allah seeth well whatever ye do.",spend substance,please Allah,like garden,,,,,,,,,
266,2,2,Al-Baqara,Medani,266,"Does any of you wish that he should have a garden with date-palms and vines and streams flowing underneath, and all kinds of fruit, while he is stricken with old age, and his children are not strong (enough to look after themselves)- that it should be caught in a whirlwind, with fire therein, and be burnt up? Thus doth Allah make clear to you (His) Signs; that ye may consider.",garden,date ,palm,vines,old age,wind ,fire,,,,,
267,2,2,Al-Baqara,Medani,267,"O ye who believe  Give of the good things which ye have (honourably) earned, and of the fruits of the earth which We have produced for you, and do not even aim at getting anything which is bad, in order that out of it ye may give away something, when ye yourselves would not receive it except with closed eyes. And know that Allah is Free of all wants, and worthy of all praise.",spend things,given by Allah,,,,,,,,,,
268,2,2,Al-Baqara,Medani,268,The Evil one threatens you with poverty and bids you to conduct unseemly. Allah promiseth you His forgiveness and bounties. And Allah careth for all and He knoweth all things.,poverty,evil,threaten,Allah,forgive,bounty,,,,,,
269,2,2,Al-Baqara,Medani,269,He granteth wisdom to whom He pleaseth; and he to whom wisdom is granted receiveth indeed a benefit overflowing; but none will grasp the Message but men of understanding.,wisdom,please Allah,,,,,,,,,,
270,2,2,Al-Baqara,Medani,270,"And whatever ye spend in charity or devotion, be sure Allah knows it all. But the wrong-doers have no helpers.",charity,Allah knoweth,,,,,,,,,,
271,2,2,Al-Baqara,Medani,271,"If ye disclose (acts of) charity, even so it is well, but if ye conceal them, and make them reach those (really) in need, that is best for you  It will remove from you some of your (stains of) evil. And Allah is well acquainted with what ye do.",disclose,charity,conceal,remove sin,,,,,,,,
272,2,2,Al-Baqara,Medani,272,"It is not required of thee (O Messenger), to set them on the right path, but Allah sets on the right path whom He pleaseth. Whatever of good ye give benefits your own souls, and ye shall only do so seeking the   Face   of Allah. Whatever good ye give, shall be rendered back to you, and ye shall not Be dealt with unjustly.",o messenger,responsible,right path,,,,,,,,,
273,2,2,Al-Baqara,Medani,273,"(Charity is) for those in need, who, in Allah's cause are restricted (from travel), and cannot move about in the land, seeking (For trade or work)  the ignorant man thinks, because of their modesty, that they are free from want. Thou shalt know them by their (Unfailing) mark  They beg not importunately from all the sundry. And whatever of good ye give, be assured Allah knoweth it well.",wrapped up,move about,restraint,mark,importunity,charity,,,,,,
274,2,2,Al-Baqara,Medani,274,"Those who (in charity) spend of their goods by night and by day, in secret and in public, have their reward with their Lord  on them shall be no fear, nor shall they grieve.",reward,charity,Lord,no fear,,,,,,,,
275,2,2,Al-Baqara,Medani,275,"Those who devour usury will not stand except as stand one whom the Evil one by his touch Hath driven to madness. That is because they say    Trade is like usury,   but Allah hath permitted trade and forbidden usury. Those who after receiving direction from their Lord, desist, shall be pardoned for the past; their case is for Allah (to judge); but those who repeat (The offence) are companions of the Fire  They will abide therein (for ever).",usury,evil,fire,live forever,,,,,,,,
